Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Perspective,Main Category,Extra Descriptors,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
The Legend of Zelda: Tears of the Kingdom,100,96,4,100%,Switch,Switch,2023,2023,,106,Extra,1,No,Nintendo,Nintendo,The Legend of Zelda,Third person,Action-adventure,"Open-world, sandbox, exploration, puzzles, platforming",,,,
The Legend of Zelda: Breath of the Wild,100,97,3,100%,"Switch,WiiU",Switch,2017,2017,"2018, 2023",143,Extra,1,Yes,Nintendo,Nintendo,The Legend of Zelda,Third person,Action-adventure,"Open-world, sandbox, exploration, puzzles, platforming",,,,
Metroid Prime,99,97,2,99%,Gamecube,Switch,2002,2023,,21,Extra,2,No,Nintendo,Retro Studios,Metroid,First person,Metroidvania,"Shooter, platforming",,94,2023,
God of War (2018),99,94,5,99%,PS4,PS4,2018,2018,2022,59,Extra,2,No,Sony,Santa Monica Studio,God of War,Third person,Action-adventure,"Action, story-driven, metroidvania",,,,
The Last of Us,99,95,4,99%,PS4,PS4,2013,2014,,35,Finished,1,Yes,Sony,Naughty Dog,The Last of Us,Third person,Cover-shooter,"Horror, stealth, survival, story-driven, linear",,94,2014,
Hades,98,94,4,99%,"PC, Switch",PC,2020,2020,"2021, 2023",88,Extra,,No,Indie,Supergiant,Hades,Top down,Roguelike,"Hack and slash, action-RPG, story-driven, social",,,,
Red Dead Redemption 2,98,97,1,99%,"PS4,XB1",PS4,2018,2018,,77,Finished,1,No,Rockstar,Rockstar,Red Dead,Third person,Action-adventure,"Cover-shooter, open-world, story-driven",,,,
Super Mario Galaxy,98,97,1,99%,Wii,Wii,2007,2008,2009,45,Finished,1,No,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,,,,,
Hi-Fi Rush,97,89,8,98%,"XBS, PC",XBS,2023,2023,,21,Extra,2,No,Microsoft,Tango Gameworks,Hi-Fi Rush,Third person,Action,"Hack and slash, rythm, linear, platforming, story-driven",,,,
Elden Ring,97,96,1,98%,"PS4, PS5, XB1, XBS, PC",XBS,2022,2022,"2023, 2024",87,Extra,1,Yes,Bandai Namco,From Software,Souls,Third person,Soulslike,"Action-RPG, open-world, exploration",,,,
Horizon Zero Dawn,97,89,8,98%,PS4,PS4,2017,2017,,65,One-hundred,1,Yes,Sony,Guerrilla Games,Horizon,Third person,Action-RPG,"Open-world, platforming, story-driven",,,,
Super Mario Odyssey,97,97,0,98%,Switch,Switch,2017,2017,,31,Extra,1,No,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,Collectathon,,,,
Super Mario Galaxy 2,97,97,0,98%,Wii,Wii,2010,2010,,20,Finished,1,No,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,,,,,
Super Mario 64,96,96,0,97%,N64,Switch,1996,2023,,7,Finished,1,Yes,Nintendo,Nintendo,Super Mario (3D),Third person,Platformer,Collectathon,,,,
God of War Ragnarök,96,94,2,97%,"PS4, PS5",PS5,2022,2022,2023,41,Extra,1,Yes,Sony,Santa Monica Studio,God of War,Third person,Action-adventure,"Action, story-driven",,,,
The Last of Us Part II,96,93,3,97%,PS4,PS4,2020,2020,2024,43,One-hundred,2,Yes,Sony,Naughty Dog,The Last of Us,Third person,Cover-shooter,"Horror, survival, story-driven, linear",,,,
Bloodborne,96,92,4,97%,PS4,PS4,2015,2015,2017,123,Finished,1,Yes,Sony,From Software,Souls,Third person,Soulslike,Action-RPG,,,,Japan Studio
Sea of Stars,95,89,6,96%,"PC, XB1, XBS, PS4, PS5, Switch",XBS,2023,2024,,27,Extra,1,No,Indie,Sabotage Studio,Sea of Stars,Top down,JRPG,"Turn-based, story-driven",,,,
Marvel's Spider-Man 2,95,90,5,96%,PS5,PS5,2023,2023,,22,Extra,1,No,Sony,Insomniac,Marvel's Spider-Man,Third person,Action-adventure,"Story-driven, open-world, superhero, platforming, action",,,,
Mass Effect 2,95,96,-1,96%,"X360, PC",XBS,2010,2022,,21,Extra,1,Yes,EA,BioWare,Mass Effect,Third person,Action-RPG,"Cover-shooter, story-driven",,87,2021,
Uncharted 2 Among Thieves,95,96,-1,96%,PS3,PS4,2009,2015,,14,Finished,1,No,Sony,Naughty Dog,Uncharted,Third person,Cover-shooter,"Story-driven, action, linear, puzzles, platforming",,86,2015,
Grand Theft Auto V,95,97,-2,96%,"PS3,X360",PS4,2013,2014,"2015, 2016, 2022",721,Extra,1,Yes,Rockstar,Rockstar,Grand Theft Auto,Third person,Action-adventure,"Cover-shooter, open-world, sandbox",97,97,2014,
Portal 2,95,95,0,96%,PC,PC,2011,2012,,14,Finished,1,No,Valve,Valve,Portal,First person,Puzzle,"Story-driven, multiplayer (co-op)",,,,
Cocoon,94,88,6,95%,"PC, PS4, PS5, XB1, XBS, Switch",XBS,2023,2023,,4,Finished,1,No,Annapurna,Geometric Interactive,Cocoon,Top down,Puzzle,"Adventure, linear",,,,
Bioshock Infinite,94,94,0,95%,"PS3, X360, PC",PS5,2013,2022,,9,Finished,1,No,2K Games,Irrational Games,Bioshock,First person,Shooter,"Story-driven, linear, immersive-sim",,,,
Mass Effect 3,94,93,1,95%,"PS3, X360, PC",XBS,2012,2022,,28,Extra,1,Yes,EA,BioWare,Mass Effect,Third person,Action-RPG,"Cover-shooter, story-driven",,87,2021,
Astro Bot Rescue Mission,94,90,4,95%,PS4,PS4,2018,2018,,7,Finished,1,No,Sony,Asobi Team,Astro Bot,Third person,Platformer,VR,,,,
Celeste,94,91,3,95%,"PC, Switch, PS4",Switch,2018,2018,,10,Finished,1,No,Indie,Matt Makes Games,Celeste,2D,Platformer,,,,,
Mario Kart 8,94,88,6,95%,WiiU,Switch,2014,2017,"2018, 2022, 2023",78,One-hundred,,Yes,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,92,92,2017,
Uncharted 4 A Thief's End,94,93,1,95%,PS4,PS4,2016,2016,2022,38,Extra,2,Yes,Sony,Naughty Dog,Uncharted,Third person,Cover-shooter,"Story-driven, action, linear, puzzles, platforming",,88,2022,
Metroid Dread,93,87,6,93%,Switch,Switch,2021,2021,2023,19,Extra,2,No,Nintendo,Mercury steam,Metroid,2D,Metroidvania,"Platformer, action",,,,
Ghost of Tsushima,93,85,8,93%,PS4,PS4,2020,2020,2021,81,One-hundred,1,Yes,Sony,Sucker Punch,Ghost of Tsushima,Third person,Action-adventure,"Open-world, stealth, platforming, exploration, story-driven",,,,
Hollow Knight,93,90,3,93%,"PS4,XB1,Switch,PC",PC,2017,2020,,25,Finished,1,No,Indie,Team Cherry,Hollow Knight,2D,Metroidvania,"Platformer, soulslike",,,,
Marvel's Spider-Man,93,87,6,93%,PS4,PS4,2018,2018,"2019, 2023",42,One-hundred,2,Yes,Sony,Insomniac,Marvel's Spider-Man,Third person,Action-adventure,"Story-driven, open-world, superhero, platforming",,,,
God of War 3,93,92,1,93%,PS3,PS4,2010,2015,2023,24,Finished,2,No,Sony,Santa Monica Studio,God of War,Third person,Action-adventure,"Hack and slash, linear, platforming",,80,2015,
Driveclub,93,71,22,93%,PS4,PS4,2014,2014,"2015, 2016",902,One-hundred,,Yes,Sony,Evolution studios,Driveclub,Vehicle,Racing,Simcade,78,,,
Dragon Age Inquisition,93,89,4,93%,"PS4, XB1, PC",PS4,2014,2014,2015,548,One-hundred,2,Yes,EA,BioWare,Dragon Age,Third person,RPG,"Open-world, story-driven",,,,
Guild Wars 2,93,90,3,93%,PC,PC,2012,2012,2013,640,Finished,,Yes,ArenaNet,ArenaNet,Guild Wars,Third person,RPG,MMO,,,,
Final Fantasy XVI,92,88,4,91%,PS5,PS5,2023,2023,2024,61,Extra,1,Yes,Square Enix,Square Enix,Final Fantasy,Third person,Action-RPG,"Story-driven, action, third-person",,,,
God of War (2005),92,94,-2,91%,PS2,PS5,2005,2023,,7,Finished,1,No,Sony,Santa Monica Studio,God of War,Third person,Action-adventure,"Hack and slash, platforming, linear",,,2010,
Bioshock,92,96,-4,91%,"X360, PC",PS5,2007,2022,,8,Finished,1,No,2K Games,Irrational Games,Bioshock,First person,Shooter,"Horror, linear, story-driven, immersive-sim",,84,2016,
Super Metroid,92,96,-4,91%,SNES,Switch,1994,2022,,9,Finished,1,Yes,Nintendo,Nintendo,Metroid,2D,Metroidvania,"Platformer, action",,,,
Forza Horizon 5,92,92,0,91%,"XBS,PC,XB1",XBS,2021,2021,"2022, 2023",67,Extra,,Yes,Microsoft,Playground games,Forza,Vehicle,Racing,"Simcade, open-world",90,,,
Halo Combat Evolved,92,97,-5,91%,Xbox,PC,2001,2020,,10,Finished,1,No,Microsoft,Bungie,Halo,First person,Shooter,"Linear, multiplayer",,82,2011,
Forza Horizon 3,92,91,1,91%,"PC, XB1",PC,2016,2018,,15,Extra,,Yes,Microsoft,Playground games,Forza,Vehicle,Racing,"Simcade, open-world",,,,
Uncharted The Lost Legacy,92,84,8,91%,PS4,PS4,2017,2017,2023,13,Extra,2,No,Sony,Naughty Dog,Uncharted,Third person,Cover-shooter,"Story-driven, action, linear, puzzles, platforming, exploration",,88,2022,
Undertale,92,92,0,91%,PC,PC,2015,2015,,5,Finished,1,No,Indie,Nate Fox,Undertale,Top down,RPG,"Story-driven, puzzles, turn-based",,,,
Mario Kart DS,92,91,1,91%,DS,DS,2005,2007,,100,One-hundred,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Street Fighter 6,91,92,-1,90%,"PS4, PS5, XBS, PC",PS5,2023,2023,,24,Finished,1,No,Capcom,Capcom,Street Fighter,Third person,Fighting,RPG,,,,
Final Fantasy VII Remake,91,88,3,90%,PS4,PS4,2020,2020,2022,36,Extra,1,Yes,Square Enix,Square Enix,Final Fantasy,Third person,Action-RPG,"Story-driven, JRPG, remake",,,,
Ys VIII Lacrimosa of Dana,91,85,6,90%,Vita,Switch,2017,2019,,35,Extra,1,No,NIS America,Nihon Falcom,Ys,Third person,Action-RPG,"JRPG, story-driven, hack and slash",,,,
